Depth [mm],Dose [Gy],PDD [%]
42.47619048,0.01449125644,0.9740458626
42.57142857,0.01448219603,0.9734368572
42.66666667,0.01447313562,0.9728278518
42.76190476,0.0144807058,0.9733366898
42.85714286,0.01448995497,0.9739583828
42.95238095,0.01449920413,0.9745800759
43.04761905,0.0145084533,0.9752017689
43.14285714,0.01451770247,0.975823462
43.23809524,0.01452695164,0.976445155
43.33333333,0.0145362008,0.9770668481
43.42857143,0.01454544997,0.9776885411
43.52380952,0.01455469914,0.9783102342
43.61904762,0.01456394831,0.9789319273
43.71428571,0.01457319747,0.9795536203
43.80952381,0.01458244664,0.9801753134
43.9047619,0.01459169581,0.9807970064
44,0.01460094498,0.9814186995
44.0952381,0.01461019415,0.9820403925
44.19047619,0.01461944331,0.9826620856
44.28571429,0.01462869248,0.9832837787
44.38095238,0.01463794165,0.9839054717
44.47619048,0.01464719082,0.9845271648
44.57142857,0.01465643998,0.9851488578
44.66666667,0.01466568915,0.9857705509
44.76190476,0.01463567641,0.9837532115
44.85714286,0.01460169988,0.9814694411
44.95238095,0.01456772335,0.9791856706
45.04761905,0.01453374681,0.9769019002
45.14285714,0.01449977028,0.9746181298
45.23809524,0.01446579374,0.9723343594
45.33333333,0.01443181721,0.970050589
45.42857143,0.01439784067,0.9677668186
45.52380952,0.01436386414,0.9654830482
45.61904762,0.01432988761,0.9631992778
45.71428571,0.01429591107,0.9609155074
45.80952381,0.01426193454,0.958631737
45.9047619,0.014227958,0.9563479666
46,0.01419398147,0.9540641961
46.0952381,0.01416000493,0.9517804257
46.19047619,0.0141260284,0.9494966553
46.28571429,0.01409205187,0.9472128849
46.38095238,0.01405807533,0.9449291145
46.47619048,0.0140240988,0.9426453441
46.57142857,0.01399012226,0.9403615737
46.66666667,0.01395614573,0.9380778033
46.76190476,0.01397051792,0.9390438458
46.85714286,0.01398977128,0.9403379823
46.95238095,0.01400902465,0.9416321189
47.04761905,0.01402827802,0.9429262555
47.14285714,0.01404753139,0.944220392
47.23809524,0.01406678476,0.9455145286
47.33333333,0.01408603813,0.9468086652
47.42857143,0.0141052915,0.9481028017
47.52380952,0.01412454487,0.9493969383
47.61904762,0.01414379824,0.9506910749
47.71428571,0.01416305161,0.9519852114
47.80952381,0.01418230498,0.953279348
47.9047619,0.01420155835,0.9545734846
48,0.01422081172,0.9558676211
48.0952381,0.01424006509,0.9571617577
48.19047619,0.01425931846,0.9584558943
48.28571429,0.01427857183,0.9597500308
48.38095238,0.0142978252,0.9610441674
48.47619048,0.01431707857,0.9623383039
48.57142857,0.01433633193,0.9636324405
48.66666667,0.0143555853,0.9649265771
48.76190476,0.01435632214,0.9649761044
48.85714286,0.01435518959,0.9648999788
48.95238095,0.01435405704,0.9648238531
49.04761905,0.01435292449,0.9647477274
49.14285714,0.01435179194,0.9646716017
49.23809524,0.01435065939,0.964595476
49.33333333,0.01434952683,0.9645193504
49.42857143,0.01434839428,0.9644432247
49.52380952,0.01434726173,0.964367099
49.61904762,0.01434612918,0.9642909733
49.71428571,0.01434499663,0.9642148476
49.80952381,0.01434386408,0.964138722
49.9047619,0.01434273153,0.9640625963
50,0.01434159898,0.9639864706
50.0952381,0.01434046643,0.9639103449
50.19047619,0.01433933387,0.9638342192
50.28571429,0.01433820132,0.9637580936
50.38095238,0.01433706877,0.9636819679
50.47619048,0.01433593622,0.9636058422
50.57142857,0.01433480367,0.9635297165
50.66666667,0.01433367112,0.9634535908
50.76190476,0.01436871438,0.9658090628
50.85714286,0.01440740988,0.9684100235
50.95238095,0.01444610538,0.9710109842
51.04761905,0.01448480088,0.973611945
51.14285714,0.01452349637,0.9762129057
