Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
40.894,32198.55,0.06029023583,53.83430911,0.5383430911,25.46819368
41.021,32298.25,0.05894755854,53.12838074,0.5312838074,25.13422969
41.148,32354.06,0.05819776379,52.73416733,0.5273416733,24.94773332
41.275,32459.99,0.05677816865,51.98779849,0.5198779849,24.59463756
41.402,32586.82,0.05508456864,51.09736837,0.5109736837,24.1733886
41.529,32675.82,0.05390005533,50.47459657,0.5047459657,23.87876472
41.656,32779.03,0.0525304526,49.55948849,0.4955948849,23.445841
41.783,32880.34,0.05119025062,48.2950843,0.482950843,22.84767059
41.91,32901.11,0.05091600015,48.03634461,0.4803634461,22.72526477
42.037,33067.66,0.04872308676,45.96745579,0.4596745579,21.7465049
42.164,33181.7,0.04722791785,44.55684913,0.4455684913,21.07916833
42.291,33242.09,0.04643822937,43.81182305,0.4381182305,20.72670781
42.418,33359.55,0.0449063667,42.36659792,0.4236659792,20.04299376
42.545,33465.3,0.04353182775,41.06979875,0.4106979875,19.42949777
42.672,33598.98,0.04180045709,39.4363492,0.394363492,18.65673761
42.799,33649.42,0.04114896746,38.82170586,0.3882170586,18.36595918
42.926,33715.68,0.0402946271,38.01568442,0.3801568442,17.98464269
43.053,33809.22,0.03909139891,36.88050718,0.3688050718,17.44760759
43.18,33924.32,0.03761539919,35.48798556,0.3548798556,16.78882676
43.307,33994.58,0.03671687047,34.64027492,0.3464027492,16.38778774
43.434,34050.66,0.03600101613,33.96490714,0.3396490714,16.06828151
43.561,34109.93,0.03524572219,33.25233035,0.3325233035,15.73117225
43.688,34219.81,0.03384895648,31.9345615,0.319345615,15.10775583
43.815,34282.34,0.03305609256,31.18653958,0.3118653958,14.75387803
43.942,34377.82,0.03184821702,30.04697784,0.3004697784,14.21476868
44.069,34416.09,0.03136502159,29.59111049,0.2959111049,13.99910476
44.196,34471.17,0.03067052612,28.93589358,0.2893589358,13.6891316
44.323,34520.19,0.03005337292,28.35364471,0.2835364471,13.41367851
44.45,34580.14,0.02929980313,27.64269456,0.2764269456,13.07733879
44.577,34647.35,0.02845652711,26.84711168,0.2684711168,12.70096062
44.704,34739.71,0.02730036162,25.75633543,0.2575633543,12.18493095
44.831,34792.44,0.02664166338,25.13489118,0.2513489118,11.89093512
44.958,34916.23,0.02509920473,23.67966934,0.2367966934,11.20249178
45.085,34920.05,0.02505169347,23.63484517,0.2363484517,11.18128614
45.212,34953.59,0.02463476262,23.24149468,0.2324149468,10.995198
45.339,34998.06,0.02408257898,22.72054088,0.2272054088,10.74874268
45.466,35048.81,0.02345327324,22.12682678,0.2212682678,10.46786555
45.593,35111.24,0.02268038292,21.39764881,0.2139764881,10.12290253
45.72,35139.04,0.02233665796,21.0733639,0.210733639,9.969488271
45.847,35181.25,0.02181528434,20.58147759,0.2058147759,9.736784334
45.974,35287.66,0.02050369002,19.3440631,0.193440631,9.151382338
46.101,35298.21,0.02037386781,19.22158324,0.1922158324,9.093438978
46.228,35314.45,0.02017410356,19.03311706,0.1903311706,9.00427849
46.355,35354.04,0.01968750139,18.57403564,0.1857403564,8.787094046
46.482,35423.7,0.01883262913,17.76751237,0.1776751237,8.405540144
46.609,35441.32,0.01861666167,17.56375939,0.1756375939,8.309147703
46.736,35478.8,0.01815762808,17.13068735,0.1713068735,8.104267903
46.863,35512.96,0.01773967815,16.73637541,0.1673637541,7.917724914
46.99,35524.73,0.01759576452,16.6006011,0.166006011,7.853492149
47.117,35571.48,0.01702461537,16.06175442,0.1606175442,7.598571974
47.244,35606.51,0.0165971423,15.65845794,0.1565845794,7.407778537
47.371,35641.12,0.01617520733,15.26038634,0.1526038634,7.219456913
47.498,35730.69,0.01508514734,14.23197687,0.1423197687,6.732932014
47.625,35707.37,0.01536868661,14.49948001,0.1449948001,6.859483686
47.752,35696.71,0.01549835929,14.62181879,0.1462181879,6.917360306
47.879,35753.09,0.01481296821,13.97519136,0.1397519136,6.611450694
48.006,35743.99,0.01492352041,14.07949106,0.1407949106,6.660793298
48.133,35802.35,0.01421501648,13.41105798,0.1341105798,6.344567762
48.26,35810.37,0.01411774209,13.31928514,0.1331928514,6.301151425
48.387,35868.53,0.01341297199,12.65437472,0.1265437472,5.986592407
48.514,35871.31,0.01337931319,12.62261955,0.1262261955,5.971569521
48.641,35923.98,0.01274210441,12.02144938,0.1202144938,5.687165048
48.768,35925.13,0.01272820198,12.00833323,0.1200833323,5.680959996
48.895,35979.5,0.0120714266,11.38870308,0.1138870308,5.387822388
49.022,35964.21,0.01225602544,11.56286157,0.1156286157,5.470214122
49.149,36004.59,0.01176868056,11.10307945,0.1110307945,5.252698187
49.276,36003.56,0.0117811048,11.11480101,0.1111480101,5.258243481
49.403,36044.4,0.01128874975,10.65029208,0.1065029208,5.038491362
49.53,36020.59,0.01157572826,10.92103996,0.1092103996,5.166578069
49.657,36060.24,0.01109793749,10.47027158,0.1047027158,4.953326401
49.784,36100.67,0.0106112882,10.01114571,0.1001114571,4.736120927
49.911,36104.14,0.01056954578,9.971764116,0.09971764116,4.717490092
50.038,36110.46,0.01049352954,9.900047127,0.09900047127,4.683561874
50.165,36078.35,0.01087988295,10.26454956,0.1026454956,4.856002437
50.292,36119.64,0.01038313724,9.795898285,0.09795898285,4.634290639
50.419,36108.48,0.01051734332,9.922514074,0.09922514074,4.694190646
50.546,36127.25,0.01029164594,9.709581455,0.09709581455,4.593455459
50.673,36151.49,0.0100003487,9.434759112,0.09434759112,4.463441184
50.8,36212.42,0.009269001567,8.744774769,0.08744774769,4.137020075
50.927,36207.6,0.009326811532,8.799315177,0.08799315177,4.162822313
51.054,36197.23,0.009451213006,8.916680879,0.08916680879,4.218346243
51.181,36195.8,0.00946837049,8.932867987,0.08932867987,4.226004118
51.308,36260.65,0.00869096545,8.199430634,0.08199430634,3.879026051
