Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
66.929,35796.59,0.006805581351,7.379026933,0.07379026933,3.044591824
67.056,35788.16,0.00690786857,7.489932982,0.07489932982,3.09035174
67.183,35829.2,0.00641012759,6.950251813,0.06950251813,2.867678901
67.31,35827.1,0.006435582949,6.977852068,0.06977852068,2.879066786
67.437,35801.14,0.006750382956,7.319177461,0.07319177461,3.019897889
67.564,35826.03,0.006448553634,6.991915677,0.06991915677,2.884869441
67.691,35822.27,0.006494135937,7.041338793,0.07041338793,2.905261455
67.818,35865.52,0.005970106988,6.473154603,0.06473154603,2.670828249
67.945,35805.01,0.006703439512,7.268278513,0.07268278513,2.998896946
68.072,35853.88,0.006111078268,6.626004275,0.06626004275,2.733894133
68.199,35895.75,0.005604207026,6.076423519,0.06076423519,2.507136718
68.326,35887.83,0.00570003987,6.180331341,0.06180331341,2.55000916
68.453,35972.24,0.004679756587,5.074077894,0.05074077894,2.093568192
68.58,35888.9,0.005687091521,6.16629195,0.0616629195,2.544216497
68.707,35856.83,0.006075346681,6.587261906,0.06587261906,2.717909004
68.834,35877.3,0.00582748675,6.318517031,0.06318517031,2.607024675
68.961,35913.95,0.005384065186,5.837732292,0.05837732292,2.408652546
69.088,35920.44,0.005305591041,5.75264583,0.0575264583,2.373545811
69.215,35945.45,0.005003313968,5.424898567,0.05424898567,2.238317054
69.342,35913.41,0.005390595261,5.844812598,0.05844812598,2.411573885
69.469,35897.28,0.0055856963,6.056353059,0.06056353059,2.498855632
69.596,35901.77,0.005531378528,5.997458413,0.05997458413,2.474555658
69.723,35877.01,0.005830997212,6.322323289,0.06322323289,2.60859514
69.85,35888.91,0.00568697051,6.166160742,0.06166160742,2.544162361
69.977,35913.26,0.005392409188,5.846779368,0.05846779368,2.412385376
70.104,35934.01,0.005141554542,5.57478744,0.0557478744,2.300161311
70.231,35910.87,0.005421312116,5.878117687,0.05878117687,2.425315589
70.358,35902.55,0.005521943171,5.987228023,0.05987228023,2.470334592
70.485,35870.88,0.005905207762,6.402786899,0.06402786899,2.641794483
70.612,35904.76,0.005495210773,5.958243124,0.05958243124,2.458375402
70.739,35909.17,0.005441871854,5.900409811,0.05900409811,2.434513336
70.866,35976.91,0.004623379125,5.012950007,0.05012950007,2.068346781
70.993,35951.75,0.004927203765,5.342375237,0.05342375237,2.204267868
71.12,35984.45,0.004532369717,4.914272048,0.04914272048,2.027632185
71.247,35968.09,0.004729862615,5.12840591,0.0512840591,2.11598397
71.374,35975.86,0.004636054362,5.026693273,0.05026693273,2.074017263
71.501,35961.36,0.004811131188,5.21652226,0.0521652226,2.15234084
71.628,36001.5,0.004326642875,4.691210443,0.04691210443,1.935596806
71.755,35984.33,0.004533817993,4.915842358,0.04915842358,2.028280095
71.882,35987.1,0.00450038818,4.879595713,0.04879595713,2.013324704
72.009,36017.91,0.004128730324,4.476621568,0.04476621568,1.847057282
72.136,36028.58,0.004000093325,4.337145477,0.04337145477,1.789509346
72.263,36058.16,0.003643677388,3.950697551,0.03950697551,1.630060653
72.39,36053.6,0.003698602766,4.010251,0.04010251,1.654632449
72.517,36019.93,0.004104374379,4.450213365,0.04450213365,1.836161238
72.644,36043.44,0.003821005349,4.142967356,0.04142967356,1.709391313
72.771,35918.04,0.005334609103,5.784108986,0.05784108986,2.386527531
72.898,35987.32,0.004497733215,4.876717038,0.04876717038,2.01213696
73.025,35995.15,0.004403251161,4.774273825,0.04774273825,1.969868817
73.152,36028.6,0.003999852242,4.33688408,0.0433688408,1.789401493
