Depth [mm],Dose [Gy],PDD [%]
5.238095238,1.570694938,87.9533871
5.333333333,1.572835377,88.07324414
5.428571429,1.574975816,88.19310117
5.523809524,1.577116255,88.31295821
5.619047619,1.579256694,88.43281525
5.714285714,1.580819127,88.52030603
5.80952381,1.582177474,88.59636865
5.904761905,1.58353582,88.67243128
6,1.584894167,88.7484939
6.095238095,1.586252513,88.82455653
6.19047619,1.58761086,88.90061915
6.285714286,1.588969206,88.97668178
6.380952381,1.590327553,89.0527444
6.476190476,1.5916859,89.12880703
6.571428571,1.593044246,89.20486965
6.666666667,1.594402593,89.28093228
6.761904762,1.595760939,89.3569949
6.857142857,1.597119286,89.43305753
6.952380952,1.598477632,89.50912015
7.047619048,1.599835979,89.58518278
7.142857143,1.601194325,89.6612454
7.238095238,1.602552672,89.73730803
7.333333333,1.603911018,89.81337065
7.428571429,1.605269365,89.88943327
7.523809524,1.606627712,89.9654959
7.619047619,1.607986058,90.04155852
7.714285714,1.609666443,90.13565416
7.80952381,1.611460536,90.23611704
7.904761905,1.613254628,90.33657992
8,1.615048721,90.4370428
8.095238095,1.616842814,90.53750567
8.19047619,1.618636907,90.63796855
8.285714286,1.620431,90.73843143
8.380952381,1.622225092,90.83889431
8.476190476,1.624019185,90.93935719
8.571428571,1.625813278,91.03982007
8.666666667,1.627607371,91.14028295
8.761904762,1.629401463,91.24074583
8.857142857,1.631195556,91.34120871
8.952380952,1.632989649,91.44167159
9.047619048,1.634783742,91.54213447
9.142857143,1.636577834,91.64259735
9.238095238,1.638371927,91.74306023
9.333333333,1.64016602,91.84352311
9.428571429,1.641960113,91.94398599
9.523809524,1.643754206,92.04444887
9.619047619,1.645548298,92.14491175
9.714285714,1.64732666,92.24449376
9.80952381,1.649099468,92.34376475
9.904761905,1.650872276,92.44303574
10,1.652645083,92.54230673
10.0952381,1.654417891,92.64157772
10.19047619,1.656190699,92.74084871
10.28571429,1.657963507,92.8401197
10.38095238,1.659736314,92.93939069
10.47619048,1.661509122,93.03866167
10.57142857,1.66328193,93.13793266
10.66666667,1.665054737,93.23720365
10.76190476,1.666827545,93.33647464
10.85714286,1.668600353,93.43574563
10.95238095,1.67037316,93.53501662
11.04761905,1.672145968,93.63428761
11.14285714,1.673918776,93.7335586
11.23809524,1.675691583,93.83282959
11.33333333,1.677464391,93.93210058
11.42857143,1.679237199,94.03137157
11.52380952,1.681010006,94.13064256
11.61904762,1.682782814,94.22991355
11.71428571,1.68450363,94.32627318
11.80952381,1.686206088,94.42160484
11.9047619,1.687908546,94.5169365
12,1.689611004,94.61226817
12.0952381,1.691313463,94.70759983
12.19047619,1.693015921,94.80293149
12.28571429,1.694718379,94.89826315
12.38095238,1.696420837,94.99359482
12.47619048,1.698123295,95.08892648
12.57142857,1.699825753,95.18425814
12.66666667,1.701528211,95.2795898
12.76190476,1.70323067,95.37492147
12.85714286,1.704933128,95.47025313
12.95238095,1.706635586,95.56558479
13.04761905,1.708338044,95.66091646
13.14285714,1.710040502,95.75624812
13.23809524,1.71174296,95.85157978
13.33333333,1.713445418,95.94691144
13.42857143,1.715147877,96.04224311
13.52380952,1.716850335,96.13757477
13.61904762,1.718552793,96.23290643
13.71428571,1.720243816,96.32759777
13.80952381,1.721930801,96.42206302
13.9047619,1.723617787,96.51652828
14,1.725304773,96.61099353
14.0952381,1.726991758,96.70545878
14.19047619,1.728678744,96.79992403
14.28571429,1.730365729,96.89438928
14.38095238,1.732052715,96.98885453
14.47619048,1.7337397,97.08331979
14.57142857,1.735426686,97.17778504
14.66666667,1.737113671,97.27225029
14.76190476,1.738800657,97.36671554
14.85714286,1.740487642,97.46118079
14.95238095,1.742174628,97.55564604
15.04761905,1.743861614,97.6501113
15.14285714,1.745548599,97.74457655
15.23809524,1.747235585,97.8390418
15.33333333,1.74892257,97.93350705
15.42857143,1.750609556,98.0279723
15.52380952,1.752296541,98.12243756
15.61904762,1.753983527,98.21690281
15.71428571,1.755191481,98.28454399
15.80952381,1.756230295,98.34271389
15.9047619,1.757269108,98.4008838
16,1.758307922,98.45905371
16.0952381,1.759346736,98.51722362
16.19047619,1.760385549,98.57539353
16.28571429,1.761424363,98.63356344
16.38095238,1.762463177,98.69173334
16.47619048,1.76350199,98.74990325
16.57142857,1.764540804,98.80807316
16.66666667,1.765579618,98.86624307
16.76190476,1.766618431,98.92441298
16.85714286,1.767657245,98.98258289
