depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
27.686,55767.25,0.04023554483,28.0902591,0.280902591,28.0902591,14.76060366
27.813,55835.72,0.03970265315,27.71822324,0.2771822324,27.71822324,14.56510978
27.94,55951.56,0.03880257417,27.08983727,0.2708983727,27.08983727,14.23491147
28.067,55944.37,0.03885838634,27.12880228,0.2712880228,27.12880228,14.25538643
28.194,56067.07,0.03790691291,26.46453552,0.2646453552,26.46453552,13.90633381
28.321,56114.36,0.03754075984,26.20890745,0.2620890745,26.20890745,13.7720088
28.448,56327.13,0.0358971504,25.06142914,0.2506142914,25.06142914,13.16904275
28.575,56327.5,0.03589429763,25.05943749,0.2505943749,25.05943749,13.16799619
28.702,56490.52,0.0346392014,24.18319788,0.2418319788,24.18319788,12.70755809
28.829,56411.25,0.03524905064,24.6089613,0.246089613,24.6089613,12.93128422
28.956,56545.07,0.03422002784,23.89055379,0.2389055379,23.89055379,12.55378224
29.083,56559.13,0.03411205341,23.81517195,0.2381517195,23.81517195,12.51417131
29.21,56603.69,0.03377003007,23.57638994,0.2357638994,23.57638994,12.38869839
29.337,56655.2,0.03337499688,23.30059935,0.2330059935,23.30059935,12.24377856
29.464,56807.05,0.032212537,22.48903338,0.2248903338,22.48903338,11.81732455
29.591,56798.85,0.03227523119,22.53280303,0.2253280303,22.53280303,11.84032422
29.718,56818.14,0.03212776133,22.42984763,0.2242984763,22.42984763,11.78622419
29.845,56864.8,0.03177125786,22.18095638,0.2218095638,22.18095638,11.65543917
29.972,56916.33,0.03137788514,21.90632505,0.2190632505,21.90632505,11.51112849
30.099,56900.01,0.03150243116,21.99327627,0.2199327627,21.99327627,11.5568188
30.226,56975.79,0.03092441826,21.58973924,0.2158973924,21.58973924,11.34477198
30.353,57011.66,0.0306510874,21.39891457,0.2139891457,21.39891457,11.24449923
30.48,57069.22,0.03021283706,21.09295213,0.2109295213,21.09295213,11.08372498
30.607,57026.87,0.0305352385,21.3180352,0.213180352,21.3180352,11.20199951
30.734,57046.03,0.03038934789,21.21618235,0.2121618235,21.21618235,11.14847883
30.861,56914.24,0.03139383297,21.91745895,0.2191745895,21.91745895,11.51697903
30.988,57010.9,0.03065687685,21.40295645,0.2140295645,21.40295645,11.24662312
31.115,57081.64,0.03011833164,21.02697361,0.2102697361,21.02697361,11.04905521
31.242,57049.12,0.0303658242,21.19975939,0.2119975939,21.19975939,11.13984905
31.369,57240.74,0.02890953426,20.18305732,0.2018305732,20.18305732,10.60560206
31.496,57179.85,0.02937176214,20.50575957,0.2050575957,20.50575957,10.77517259
31.623,57181.66,0.02935801498,20.49616206,0.2049616206,20.49616206,10.77012938
31.75,57141.14,0.02966587331,20.71109192,0.2071109192,20.71109192,10.88306869
31.877,57122.12,0.02981045664,20.8120321,0.208120321,20.8120321,10.93610978
32.004,57276.08,0.02864148686,19.99592128,0.1999592128,19.99592128,10.50726759
32.131,57281.92,0.02859720746,19.96500782,0.1996500782,19.96500782,10.49102347
32.258,57214.7,0.02910714878,20.32102098,0.2032102098,20.32102098,10.6780979
32.385,57330.14,0.02823177156,19.70988043,0.1970988043,19.70988043,10.35696155
32.512,57212.57,0.02912331708,20.33230881,0.2033230881,20.33230881,10.68402932
32.639,57239.1,0.02892197737,20.19174442,0.2019174442,20.19174442,10.61016688
32.766,57269.97,0.02868781826,20.02826733,0.2002826733,20.02826733,10.52426448
32.893,57259.02,0.02877086317,20.08624474,0.2008624474,20.08624474,10.55472991
33.02,57315.91,0.02833958182,19.78514767,0.1978514767,19.78514767,10.39651226
33.147,57187.66,0.02931244739,20.46434926,0.2046434926,20.46434926,10.75341269
33.274,57306.21,0.02841308694,19.83646493,0.1983646493,19.83646493,10.42347797
33.401,57369.91,0.0279306053,19.49962261,0.1949962261,19.49962261,10.24647726
33.528,57437.27,0.02742098422,19.14383301,0.1914383301,19.14383301,10.0595203
33.655,57479.02,0.02710541894,18.92352258,0.1892352258,18.92352258,9.94375366
33.782,57537.19,0.02666612587,18.61683215,0.1861683215,18.61683215,9.782596877
33.909,57538.06,0.0266595591,18.6122476,0.186122476,18.6122476,9.780187827
34.036,57505.79,0.02690319982,18.78234424,0.1878234424,18.78234424,9.869568601
34.163,57487.63,0.0270403692,18.8781084,0.188781084,18.8781084,9.919889848
34.29,57480.87,0.02709144111,18.91376402,0.1891376402,18.91376402,9.938625826
34.417,57495.19,0.02698326038,18.83823815,0.1883823815,18.83823815,9.898939204
34.544,57569,0.02642608825,18.449251,0.18449251,18.449251,9.69453792
34.671,57641.29,0.02588108221,18.06875756,0.1806875756,18.06875756,9.494599824
34.798,57575.63,0.02637607511,18.41433456,0.1841433456,18.41433456,9.676190357
34.925,57630.71,0.02596080383,18.12441485,0.1812441485,18.12441485,9.523846087
35.052,57601.19,0.02618331814,18.27976218,0.1827976218,18.27976218,9.605476535
35.179,57598.28,0.02620525916,18.2950802,0.182950802,18.2950802,9.613525704
35.306,57591.76,0.02625442314,18.3294038,0.183294038,18.3294038,9.631561745
35.433,57624.45,0.02600798061,18.15735109,0.1815735109,18.15735109,9.541153115
35.56,57692.09,0.02549850153,17.80166064,0.1780166064,17.80166064,9.354248259
35.687,57647.9,0.02583128245,18.0339901,0.180339901,18.0339901,9.476330545
35.814,57675.36,0.02562445988,17.88959787,0.1788959787,17.88959787,9.400456686
35.941,57718.36,0.02530079125,17.66363012,0.1766363012,17.66363012,9.281717289
36.068,57691.41,0.02550362047,17.8052344,0.178052344,17.8052344,9.356126164
36.195,57762.52,0.02496864198,17.43174165,0.1743174165,17.43174165,9.159866726
36.322,57808.29,0.02462465097,17.19158592,0.1719158592,17.19158592,9.033671967
36.449,57766.25,0.02494059843,17.41216317,0.1741216317,17.41216317,9.149578814
36.576,57840.98,0.02437913127,17.02017748,0.1702017748,17.02017748,8.943601881
36.703,57863.89,0.02420714739,16.90010773,0.1690010773,16.90010773,8.880508762
36.83,57901.78,0.02392285899,16.7016331,0.167016331,16.7016331,8.776216192
36.957,57866.74,0.02418575738,16.8851744,0.168851744,16.8851744,8.872661736
37.084,57776.69,0.02486211619,17.35737116,0.1735737116,17.35737116,9.120787226
37.211,57912.93,0.02383923604,16.64325213,0.1664325213,16.64325213,8.745538712
37.338,57809.86,0.02461285625,17.18335149,0.1718335149,17.18335149,9.029345014
37.465,57765.94,0.02494292906,17.41379029,0.1741379029,17.41379029,9.150433816
37.592,57891.81,0.02399764579,16.75384516,0.1675384516,16.75384516,8.80365209
37.719,57782.41,0.02481912235,17.32735521,0.1732735521,17.32735521,9.10501473
37.846,57737.14,0.02515950651,17.56499283,0.1756499283,17.56499283,9.229886299
37.973,57752.49,0.02504406029,17.48439459,0.1748439459,17.48439459,9.187534298
38.1,57818.09,0.02455103307,17.14018992,0.1714018992,17.14018992,9.006664883
38.227,57854.88,0.02427477675,16.94732285,0.1694732285,16.94732285,8.90531892
38.354,57849.74,0.02431336248,16.9742613,0.169742613,16.9742613,8.919474281
38.481,57907.59,0.02387928305,16.67121076,0.1667121076,16.67121076,8.760230149
38.608,57834.61,0.02442696256,17.05357067,0.1705357067,17.05357067,8.961149017
38.735,57732.29,0.02519598938,17.59046318,0.1759046318,17.59046318,9.243270216
38.862,57833.15,0.0244379262,17.06122488,0.1706122488,17.06122488,8.965171082
38.989,57904.9,0.02389945794,16.68529577,0.1668529577,16.68529577,8.767631405
39.116,57875.46,0.02412031802,16.83948821,0.1683948821,16.83948821,8.848654991
39.243,57846.71,0.02433611015,16.99014248,0.1699014248,16.99014248,8.927819373
39.37,57884.1,0.02405548874,16.79422795,0.1679422795,16.79422795,8.824872058
39.497,57810.93,0.02460481798,17.17773961,0.1717773961,17.17773961,9.026396139
39.624,57892.65,0.0239913443,16.7494458,0.167494458,16.7494458,8.801340358
39.751,57861.07,0.02422831327,16.91488459,0.1691488459,16.91488459,8.888273568
39.878,57913.82,0.0238325619,16.63859261,0.1663859261,16.63859261,8.743090271
40.005,57831.47,0.02445054224,17.07003271,0.1707003271,17.07003271,8.969799337
40.132,57899.2,0.02394221081,16.71514348,0.1671514348,16.71514348,8.7833155
40.259,57974.52,0.02337761229,16.32097165,0.1632097165,16.32097165,8.576189813
40.386,57876.72,0.02411086315,16.83288733,0.1683288733,16.83288733,8.845186425
40.513,57895.28,0.02397161522,16.73567204,0.1673567204,16.73567204,8.794102651
40.64,57927.26,0.02373178733,16.5682373,0.165682373,16.5682373,8.706120631
40.767,57940.22,0.02363463398,16.50041015,0.1650041015,16.50041015,8.670479459
40.894,57902.79,0.02391528351,16.69634431,0.1669634431,16.69634431,8.773437092
41.021,57942.74,0.02361574558,16.4872233,0.164872233,16.4872233,8.663550157
41.148,57961.89,0.02347223553,16.38703242,0.1638703242,16.38703242,8.610902804
41.275,57937.12,0.02365787084,16.51663286,0.1651663286,16.51663286,8.679004014
41.402,57942.06,0.02362084237,16.4907816,0.164907816,16.4907816,8.665419939
41.529,57990.44,0.02325836993,16.23772314,0.1623772314,16.23772314,8.532445175
41.656,57945.66,0.02359386004,16.47194401,0.1647194401,16.47194401,8.655521342
41.783,57894.59,0.0239767912,16.73928562,0.1673928562,16.73928562,8.796001485
41.91,58001.2,0.023177795,16.18147013,0.1618147013,16.18147013,8.502885876
42.037,57975.81,0.02336794885,16.31422516,0.1631422516,16.31422516,8.572644731
42.164,57944.62,0.02360165476,16.47738586,0.1647738586,16.47738586,8.658380874
42.291,57975.7,0.02336877285,16.31480043,0.1631480043,16.31480043,8.572947022
42.418,57973.01,0.02338892404,16.32886889,0.1632886889,16.32886889,8.580339582
42.545,58014.29,0.02307979232,16.11305001,0.1611305001,16.11305001,8.466933119
42.672,57942.22,0.02361964312,16.48994435,0.1648994435,16.48994435,8.664979988
42.799,57916.85,0.02380984059,16.62272983,0.1662272983,16.62272983,8.734754848
42.926,57864.97,0.02419904158,16.89444869,0.1689444869,16.89444869,8.877535107
43.053,58057.37,0.02275741548,15.88798412,0.1588798412,15.88798412,8.348667622
43.18,57889.59,0.02401430017,16.76547233,0.1676547233,16.76547233,8.80976183
43.307,57869.03,0.02416857109,16.87317587,0.1687317587,16.87317587,8.866356862
43.434,57982.88,0.02331499099,16.27725287,0.1627725287,16.27725287,8.553216885
